,ret,up_days,std,maxdn,category
19910708,-1.564430575733198,-5.688486384547941,-1.2159924530910646,1.1868397901117493,1
19910710,-1.5639456294105847,-5.688486384547941,-1.2150725086864311,1.1863545973007599,1
19910711,-1.5636995383718315,-5.688486384547941,-1.2160900802543848,1.1861083467234663,1
19910715,-1.6161988777653356,-5.688486384547941,-1.2071049671843015,1.2381214760925086,1
19910719,-1.6706062052793165,-5.688486384547941,-1.1850429222769254,1.290943924205414,1
19910724,-1.6965842659476427,-5.688486384547941,-1.1681713028473604,1.315786771426305,1
19910726,-1.723074590652261,-5.688486384547941,-1.173864392590683,1.3408725922391156,1
19910729,-1.7500975626364637,-5.688486384547941,-1.1735828755058988,1.366209708295261,1
19910730,-1.7501959782150542,-5.688486384547941,-1.1736039562316083,1.3663015215570815,1
19910731,-1.6955473595207755,-5.688486384547941,-1.1736250214297332,1.3147997944200052,1
19910801,-1.6965646166534156,-5.688486384547941,-1.180301511763268,1.3157680718423475,1
19910802,-1.697592310760741,-5.688486384547941,-1.180403137063157,1.3167459103523436,1
19910819,-5.903534682189722,-5.688486384547941,3.51004650279277,3.5582679182969503,2
19910820,-6.139289214215417,-5.688486384547941,3.5099046804844978,3.6269626752570483,2
19910821,-6.215587275540385,-5.688486384547941,3.509692373768181,3.648492123122802,2
19910822,-6.594501106943167,-5.688486384547941,3.5106715115116973,3.750666113814981,2
19910823,-6.474571462590223,-5.48553828772523,3.5127479169137725,3.737117017958849,2
19910826,-6.062936505129944,-5.2825901909025195,3.5205410157297217,3.696267863351511,2
19910827,-6.142299799265038,-5.2825901909025195,3.5206505389039364,3.682802634343036,2
19910828,-6.15832237506861,-5.2825901909025195,3.520451915716377,3.669203295868505,2
19910829,-6.109427478352546,-5.2825901909025195,3.5211749013070315,3.655467834368251,2
19910830,-6.043770164110186,-5.2825901909025195,3.521395971458112,3.6275802844661955,2
19910902,-6.026895997133717,-5.2825901909025195,3.5221444546368192,3.6134239622560558,2
19910903,-5.977675134439545,-5.2825901909025195,3.522870731332788,3.599123047260695,2
19910904,-6.025309754805427,-5.2825901909025195,3.5223583375973493,3.594168614830023,2
19910905,-6.142996870912008,-5.2825901909025195,3.521451030938905,3.628016632259545,2
19910906,-6.684354645890859,-5.2825901909025195,3.5282582347355866,3.77379715010225,2
19910909,-6.48492487461291,-5.0796420940798095,3.532853485006875,3.7606339380980813,2
19910910,-6.398156892345099,-4.876693997257099,3.5342539793700087,3.747338797133711,2
19910911,-6.0350018138075585,-4.673745900434389,3.5440429043370942,3.733909733822684,2
19910912,-5.952793011067373,-4.470797803611678,3.545372016255904,3.7203447144163793,2
19910913,-5.82265770480503,-4.267849706788967,3.5466920676304974,3.692798464320529,2
19910916,-5.9061139334662665,-4.267849706788967,3.546446924812401,3.6788129549233686,2
19910917,-5.892803070445586,-4.267849706788967,3.5466541716069404,3.6653928978754142,2
19910918,-5.879398468952928,-4.267849706788967,3.546831171015847,3.6518404862549643,2
19910919,-5.865899135294245,-4.267849706788967,3.547009205464617,3.638153752349284,2
19910920,-5.804928357972871,-4.267849706788967,3.547188282329193,3.610369249852663,2
19910923,-5.75755265426521,-4.267849706788967,3.5483925007383625,3.596267345884957,2
19910924,-5.6628012468498845,-4.267849706788967,3.5490917571814764,3.5676335788555846,2
19910925,-5.550103965013053,-4.064901609966256,3.5515874579936626,3.553097323738657,2
19910926,-5.392269762483165,-3.8619535131435456,3.553558258081618,3.5235747502013464,2
19910927,-5.223763464141966,-3.659005416320835,3.557577028813454,3.5093766382439044,2
19911003,-4.47850364303795,-3.4560573194981243,3.5945281310524027,3.4950383364810707,2
19911004,-4.516194134443392,-3.4560573194981243,3.5941430001031063,3.48055775829501,2
19911007,-3.6974142159203556,-3.253109222675414,3.643109879959644,3.4659327754511384,2
19911008,-2.211435790220772,-3.050161125852703,3.8087849261705227,3.43624086847992,2
19911009,-1.1575260439134365,-2.8472130290299926,3.9381389007494545,3.421169470256341,2
19911010,-1.9937683387992262,-2.8472130290299926,4.041030612929361,3.405944716934953,2
19911011,-1.496232778665507,-2.6442649322072818,4.073408053429328,3.3905642559091413,2
19911014,-1.3144067923782379,-2.441316835384571,4.0793495339196335,3.3750256862034527,2
19911015,-1.5711756413410787,-2.441316835384571,4.088583709018045,3.3443499212491075,2
19911016,-1.613425308889723,-2.441316835384571,4.088584304094254,3.329225689441306,2
19911017,-1.30669918040165,-2.238368738561861,4.103309355470245,3.3139516691448754,2
19911018,-1.3128009922276025,-2.238368738561861,4.103264357645283,3.2985256240562664,2
19911021,-1.3398126232616365,-2.238368738561861,4.103149607447432,3.282945273132704,2
19911022,-1.3740533322615363,-2.238368738561861,4.103167313420333,3.2513122991327674,2
19911023,-1.2751147971103804,-2.03542064173915,4.105456641276228,3.235254879983158,2
19911024,-1.1944620133381492,-1.8324725449164396,4.10634171028707,3.202645818161532,2
19911025,-1.169558600665503,-1.8324725449164396,4.106712977331922,3.1860890788562846,2
19911028,-0.949804957017654,-1.629524448093729,4.114134766756822,3.1544557288906425,2
19911029,-0.7711468314302959,-1.4265763512710181,4.119356103738975,3.1221961697082357,2
19911030,-0.7320919699413923,-1.223628254448308,4.119910656491348,3.1058257219726815,2
19911031,-0.48158072330416807,-1.0206801576255964,4.129064426654894,3.055722543497724,2
19911101,-0.13679942806459552,-0.8177320608028862,4.146889614986771,2.9865086196527684,2
19911104,0.2681555527608904,-0.6147839639801754,4.1773826414170525,-1.353740402851711,0
19911105,0.28554155028484185,-0.6147839639801754,4.176534285447152,-1.3168113075091281,0
19911106,0.15151771318267415,-0.6147839639801754,4.183691685283807,-0.9475203540833026,0
19911107,0.2038350190573157,-0.4118358671574646,4.1843658822014875,-0.9475203540833026,0
19911108,0.2551231320295057,-0.20888777033475378,4.185093659399382,-0.9475203540833026,0
19911112,0.7779887911249371,-0.005939673512044106,4.265924035781852,-1.353740402851711,0
19911113,0.8399014452279284,0.1970084233106667,4.2670240976940885,-1.353740402851711,0
19911114,2.0923275449170675,0.3999565201333775,4.267038278384908,-1.353740402851711,0
19911115,2.109160945291271,0.3999565201333775,1.261665802460975,-1.1731027349356689,0
19911118,1.8101432771019816,0.3999565201333775,1.5804042407382752,0.1338639211627622,0
19911119,2.0483905201161803,0.6029046169560883,1.620631014139911,0.1338639211627622,0
19911120,2.0999829712918108,0.8058527137787992,1.6060783207888452,0.1338639211627622,0
19911121,1.9629674238148145,0.6029046169560883,1.6385200273302887,0.1338639211627622,0
19911122,1.9954474676410556,0.6029046169560883,1.6370542233302219,0.1338639211627622,0
19911125,1.816897711214947,0.6029046169560883,1.731990871176918,0.29325009873574154,0
19911126,1.816897711214947,0.6029046169560883,1.7309995808959504,0.29325009873574154,0
19911127,1.8964909713255604,0.8058527137787992,1.7365476235149255,0.29325009873574154,0
19911128,1.8448637284496774,0.8058527137787992,1.7465250421092606,0.29325009873574154,0
19911129,1.7666429102342227,0.8058527137787992,1.7622654668738833,0.4951392569948487,0
19911202,1.7301360663612593,0.8058527137787992,1.7706174144957074,0.6651511797393599,0
19911203,1.8464460339488944,1.00880081060151,1.7766298091078228,0.6651511797393599,0
19911204,1.9400196254088413,1.00880081060151,1.774837775437664,0.6651511797393599,0
19911205,1.8502650288482307,1.00880081060151,1.753326985398414,0.6757769249108921,0
19911206,1.876781318515124,1.00880081060151,1.7536638012238075,0.6757769249108921,0
19911209,1.855348246142567,1.00880081060151,1.7541145184171032,0.6757769249108921,0
19911210,1.8776784862106206,1.00880081060151,1.7513761992763197,0.6757769249108921,0
19911211,1.8620462885004005,0.8058527137787992,1.7524772265330042,0.6757769249108921,0
19911212,1.8582458821609908,0.6029046169560883,1.7562074957509182,0.6757769249108921,0
19911213,1.8217135357558887,0.6029046169560883,1.7596040847565926,0.6757769249108921,0
19911216,1.8513973238262427,0.8058527137787992,1.7587694990501517,0.6757769249108921,0
19911217,1.8544952089067372,0.8058527137787992,1.758523937918206,0.6757769249108921,0
19911218,1.867383568023036,1.00880081060151,1.7577298687741183,0.6757769249108921,0
19911219,1.867383568023036,1.00880081060151,1.757251723975136,0.6757769249108921,0
19911220,1.8576043590238889,1.00880081060151,1.7580510311281874,0.6757769249108921,0
19911223,1.8644105700663416,1.2117489074242196,1.7575576294333737,0.6757769249108921,0
19911224,1.9295812201780262,1.2117489074242196,1.7645498063033729,0.6757769249108921,0
19911225,1.9203494506015828,1.2117489074242196,1.7645114793321546,0.6757769249108921,0
19911226,1.6826146036663654,1.00880081060151,1.7836430301281565,0.6757769249108921,0
19911227,1.732431727125034,1.00880081060151,1.7525414265842623,0.6757769249108921,0
19911230,1.5544352737336287,1.2117489074242196,1.7507382596277012,0.6757769249108921,0
19911231,1.0967767316447554,1.2117489074242196,1.7024943096407994,0.6757769249108921,0
19920102,0.5304140304606522,1.00880081060151,1.4679701510508343,0.6757769249108921,0
19920103,1.0022636388982018,0.8058527137787992,1.2531078413783823,0.6757769249108921,0
19920106,0.8192075154614371,1.00880081060151,0.9971081487136102,0.6757769249108921,0
19920107,0.750022708675579,1.00880081060151,0.9435619185737919,0.6757769249108921,0
19920108,0.8974197105009519,0.8058527137787992,0.9378530605382059,0.6757769249108921,0
19920109,0.9375838086172114,1.00880081060151,0.9021603367498849,0.6757769249108921,0
19920110,0.7933474594733805,1.2117489074242196,0.8999164040818678,0.6757769249108921,0
19920113,0.7966301819775956,1.00880081060151,0.8781586699661856,0.6757769249108921,0
19920114,0.7826000522012784,1.00880081060151,0.8802376745031206,0.6757769249108921,0
19920115,0.821038076695805,1.00880081060151,0.8791245275661355,0.6757769249108921,0
19920116,0.7588110295589492,1.00880081060151,0.8766148661474078,0.6757769249108921,0
19920117,0.7304252955946066,0.8058527137787992,0.8755545877763573,0.6757769249108921,0
19920120,0.7950901042921793,0.8058527137787992,0.8788401851286738,0.6757769249108921,0
19920121,0.6724289922413256,0.8058527137787992,0.8792740811330919,0.6757769249108921,0
19920122,0.545224664929394,0.6029046169560883,0.87074105709352,0.6757769249108921,0
19920123,0.5598539759189489,0.6029046169560883,0.8643793633518012,0.6757769249108921,0
19920124,0.46515841974925204,0.6029046169560883,0.8656420531715843,0.6757769249108921,0
19920127,0.22219238390795323,0.3999565201333775,0.8507687088548743,0.6757769249108921,1
19920128,-0.09985398633289339,0.3999565201333775,0.8140553169863272,0.6757769249108921,1
19920129,-0.0196068978403788,0.3999565201333775,0.7433773432330311,0.6757769249108921,1
19920130,0.1793875706992841,0.6029046169560883,0.7439230356165054,0.6757769249108921,0
19920131,0.25168534467866593,0.8058527137787992,0.7305382469363751,0.6757769249108921,0
19920210,0.2668472488215985,0.8058527137787992,0.7315226101391262,0.6757769249108921,0
19920211,-0.32208581708259865,0.8058527137787992,0.730611132681578,0.6757769249108921,1
19920212,-0.36331032792653484,0.8058527137787992,0.5077596031016136,0.6757769249108921,1
19920213,-0.35543674226414895,0.8058527137787992,0.5044807850222255,0.6757769249108921,1
19920214,-0.28671741955897073,0.6029046169560883,0.5042606800618199,0.5391602012769108,1
19920217,0.33572085379944533,0.6029046169560883,0.5019585052224713,0.2089357539131125,0
19920218,-0.025655544561628822,0.6029046169560883,-0.017832261245380163,0.2089357539131125,0
19920219,-0.16691847447970765,0.6029046169560883,-0.14424678645013086,0.2089357539131125,0
19920220,0.13340674539576808,0.6029046169560883,-0.15971627386344547,-0.11966437250939638,0
19920221,0.09447530930679639,0.6029046169560883,-0.21680998420074815,-0.11966437250939638,0
19920224,0.40447179513175374,0.3999565201333775,-0.2126352906474637,-1.111008536589528,0
19920225,0.3886926347630866,0.3999565201333775,-0.46328837882988494,-1.0988719432764185,0
19920226,0.20775811906270822,0.3999565201333775,-0.4590422681710912,-1.0017791967715457,0
19920227,0.3656162902192229,0.3999565201333775,-0.48898304885902455,-1.0017791967715457,0
19920228,0.5567723387647453,0.6029046169560883,-0.5081605388844488,-1.0017791967715457,0
19920302,0.6601837159649498,0.8058527137787992,-0.5550525489538047,-1.0017791967715457,0
19920303,0.5215490193274698,0.8058527137787992,-0.5799128524358258,-1.0017791967715457,0
19920304,0.5597117673152361,0.8058527137787992,-0.6254444954406421,-1.0017791967715457,0
19920305,0.6891603201635442,1.00880081060151,-0.6292203151281379,-1.0017791967715457,0
19920306,0.6482809987084737,1.2117489074242196,-0.6720048912803446,-1.353740402851711,0
19920309,0.6164881134321737,1.2117489074242196,-0.677613868226303,-1.353740402851711,0
19920310,0.538755269526963,1.00880081060151,-0.6821782338133068,-1.281819849885139,0
19920311,0.5600131404474175,1.00880081060151,-0.6876556984609581,-1.281819849885139,0
19920312,0.6186835807296561,1.2117489074242196,-0.6891586598647899,-1.281819849885139,0
19920313,0.6941427784973256,1.4146970042469316,-0.6990091167826007,-1.281819849885139,0
19920316,0.7018417516374802,1.6176451010696413,-0.7153496670463038,-1.353740402851711,0
19920317,0.7116958957870835,1.6176451010696413,-0.7181984820755394,-1.353740402851711,0
19920318,0.7054907146958371,1.820593197892352,-0.7188057075177047,-1.353740402851711,0
19920319,0.6782997836850626,1.6176451010696413,-0.7144779253445617,-1.2829128674074273,0
19920320,0.6807674438046846,1.6176451010696413,-0.7130997299754325,-1.2474990996852853,0
19920323,-0.8027098600783629,1.6176451010696413,1.706478590414439,1.2432692301053847,0
19920324,-0.9611772899947624,1.6176451010696413,1.7061405382488652,1.2432692301053847,1
19920325,-0.7895339786957177,1.6176451010696413,1.7076038262351672,1.2432692301053847,0
19920326,-0.407601340880223,1.6176451010696413,1.721288092208831,1.2432692301053847,0
19920327,-0.5248587101543234,1.6176451010696413,1.7105750803245239,1.2432692301053847,0
19920330,-0.4062010517607464,1.6176451010696413,1.7204277820860183,1.2432692301053847,0
19920331,-0.30091395791409326,1.6176451010696413,1.7332044294555178,1.2432692301053847,0
19920401,-0.1496078309961641,1.6176451010696413,1.7377832799509045,1.2432692301053847,0
19920402,-0.2671733062180617,1.6176451010696413,1.7431113062659322,1.2432692301053847,0
19920403,-0.36359745765458207,1.6176451010696413,1.7430921595689148,1.2432692301053847,0
19920406,-0.16236870738624248,1.6176451010696413,1.7618515973333497,1.2432692301053847,0
19920407,-0.0627170071728584,1.6176451010696413,1.7639520523582843,1.2432692301053847,0
19920408,0.05338036709719007,1.820593197892352,1.7714318358240442,1.2432692301053847,0
19920409,0.0722206737873631,1.820593197892352,1.7720391924503305,1.2432692301053847,0
19920410,0.13852383382027025,1.820593197892352,1.7733357994421526,1.2432692301053847,0
19920413,0.544588885754992,2.023541294715062,1.8378386676417044,-1.353740402851711,0
19920414,0.5122668931772189,2.023541294715062,1.8375595294022569,-1.2476603156233208,0
19920415,0.3397835281805519,2.023541294715062,1.8605436223044716,-0.799766613992343,0
19920416,0.5779144685904892,2.2264893915377737,1.88874278526028,-0.799766613992343,0
19920417,0.4246260370407917,2.2264893915377737,1.8929293877263933,-0.799766613992343,0
19920420,0.3951915126235911,2.023541294715062,1.8910749834510228,-0.799766613992343,0
19920421,0.4290730750180499,2.023541294715062,1.890960097697048,-0.799766613992343,0
19920422,0.5303404878947245,2.2264893915377737,1.8995816973982593,-0.799766613992343,0
19920423,0.5397897704172828,2.2264893915377737,1.900736637240975,-1.353740402851711,0
19920424,0.6201264436188736,2.2264893915377737,1.901798302217175,-1.353740402851711,0
19920427,0.5917359107138768,2.2264893915377737,1.9017259601066139,-1.3080496986141228,0
19920428,0.6030421105682843,2.2264893915377737,1.9039833447658787,-1.353740402851711,0
19920429,0.7108932072239039,2.2264893915377737,1.912369755763246,-1.353740402851711,0
19920430,0.8156562266667642,2.2264893915377737,1.9359237031107297,-1.353740402851711,0
19920504,1.1121073894441191,2.2264893915377737,2.0074617672360238,-1.353740402851711,0
19920505,1.2901787546527652,2.2264893915377737,2.0329076745651817,-1.353740402851711,0
19920506,1.225945885347,2.023541294715062,2.036451748229542,-1.196572165697922,0
19920507,1.076890008944041,1.820593197892352,2.056916473029758,-0.7912435540907831,0
19920508,1.0357861137844664,1.6176451010696413,2.060518293495014,-0.6340753169369954,0
19920511,1.1489700463953796,1.820593197892352,2.0631216221371296,-0.6340753169369954,0
19920512,1.3113365445508518,2.023541294715062,2.0765895433029997,-0.6340753169369954,0
19920513,1.3024665878337625,2.023541294715062,2.0759446990039523,-0.6340753169369954,0
19920514,1.2003557385729005,1.820593197892352,2.0789239138739752,-0.6340753169369954,0
19920515,1.2065603274316936,1.6176451010696413,2.0769804623806234,-0.6340753169369954,0
19920518,1.21959947309301,1.6176451010696413,2.0780262893224,-0.6340753169369954,0
19920519,1.3176494378914072,1.820593197892352,2.0809061678635006,-0.6340753169369954,0
19920520,1.2787096387722048,1.820593197892352,2.0870715610941715,-0.6340753169369954,0
19920521,1.238259593232878,1.820593197892352,2.0856104869864787,-0.6340753169369954,0
19920522,1.1619788697310793,1.6176451010696413,2.086751023254015,-0.6340753169369954,0
19920525,1.2080912191157531,1.6176451010696413,2.0877969690579206,-0.6340753169369954,0
19920526,1.2634622879047526,1.6176451010696413,2.0897178053674748,-0.6340753169369954,0
19920527,1.2335888764485794,1.6176451010696413,2.090895353572867,-0.6340753169369954,0
19920528,1.1887525177586216,1.4146970042469316,2.0923184033591546,-0.6340753169369954,0
19920529,1.1634153962017781,1.2117489074242196,2.0927691165967413,-0.6340753169369954,0
19920601,1.1812148433014678,1.2117489074242196,2.0936538375634486,-0.6340753169369954,0
19920602,1.1467328361461104,1.00880081060151,2.0975654112692887,-0.6340753169369954,0
19920603,0.9785731798772002,1.00880081060151,2.1227165599705398,-0.5596272046009898,0
19920604,0.9148687451000319,0.8058527137787992,2.1256096676933876,-0.4190029924107579,0
19920605,0.9499864799048929,0.8058527137787992,2.1264370221312197,-0.4190029924107579,0
19920608,0.8815048225101629,0.6029046169560883,2.1272042271849463,-0.4190029924107579,0
19920609,0.7474204292336792,0.3999565201333775,2.139061421684994,-0.146026580512073,0
19920610,0.7094980580545681,0.1970084233106667,2.139906553428731,-0.07157846817606857,0
19920611,0.7062618873009533,-0.005939673512044106,2.1405713176118115,-0.0054023683218410844,0
19920612,0.6969417155305444,-0.005939673512044106,2.1404291363689025,0.04422970656882846,0
19920615,1.5391506074724641,-0.005939673512044106,2.160736054002737,0.40819825576707586,0
19920616,1.347778803025747,-0.005939673512044106,0.5167486346384974,0.8548869297831055,0
19920617,1.4545417425084646,-0.005939673512044106,0.5859032339768786,0.8548869297831055,0
